iter	SurvivalAft	SurvivalAft:dist=Normal
414	0.3290918393	0.3290918393
415	0.3284212329	0.3284212329
416	0.3287808322	0.3287808322
417	0.3286081566	0.3286081566
418	0.3281059392	0.3281059392
419	0.3277885015	0.3277885015
420	0.3260618201	0.3260618201
421	0.3237535689	0.3237535689
422	0.32333066	0.32333066
423	0.3225807117	0.3225807117
424	0.322572195	0.322572195
425	0.320709839	0.320709839
426	0.3206741658	0.3206741658
427	0.3199962226	0.3199962226
428	0.319535465	0.319535465
429	0.3184711223	0.3184711223
430	0.3168552002	0.3168552002
431	0.3163235458	0.3163235458
432	0.3160430103	0.3160430103
433	0.3162519834	0.3162519834
434	0.3165754017	0.3165754017
435	0.3153888216	0.3153888216
436	0.3146337146	0.3146337146
437	0.3146756144	0.3146756144
438	0.3141301558	0.3141301558
439	0.3130238161	0.3130238161
440	0.3122713079	0.3122713079
441	0.3107761414	0.3107761414
442	0.3103027789	0.3103027789
443	0.3088739673	0.3088739673
444	0.3086446297	0.3086446297
445	0.3076450916	0.3076450916
446	0.3067728728	0.3067728728
447	0.3066461773	0.3066461773
448	0.3064977672	0.3064977672
449	0.3062666683	0.3062666683
450	0.3048593712	0.3048593712
451	0.3046015126	0.3046015126
452	0.3053134496	0.3053134496
453	0.3050188542	0.3050188542
454	0.3041459625	0.3041459625
455	0.3039338764	0.3039338764
456	0.3027544575	0.3027544575
457	0.3034639674	0.3034639674
458	0.3013547489	0.3013547489
459	0.2994556245	0.2994556245
460	0.2987182963	0.2987182963
461	0.2985855954	0.2985855954
462	0.2989847344	0.2989847344
463	0.2981189859	0.2981189859
464	0.2980686324	0.2980686324
465	0.2968001163	0.2968001163
466	0.2963293603	0.2963293603
467	0.2959079876	0.2959079876
468	0.2950069162	0.2950069162
469	0.2941337974	0.2941337974
470	0.29378976	0.29378976
471	0.2922848569	0.2922848569
472	0.2900228797	0.2900228797
473	0.2890897132	0.2890897132
474	0.2887856226	0.2887856226
475	0.2883181789	0.2883181789
476	0.2884699201	0.2884699201
477	0.2881120406	0.2881120406
478	0.2877402691	0.2877402691
479	0.287363021	0.287363021
480	0.2865023648	0.2865023648
481	0.286089344	0.286089344
482	0.2858891862	0.2858891862
483	0.2854076951	0.2854076951
484	0.2849644635	0.2849644635
485	0.2849102841	0.2849102841
486	0.2841572623	0.2841572623
487	0.284077696	0.284077696
488	0.2833264056	0.2833264056
489	0.2829385971	0.2829385971
490	0.2825241211	0.2825241211
491	0.2825900925	0.2825900925
492	0.2822140876	0.2822140876
493	0.2819081246	0.2819081246
494	0.280866877	0.280866877
495	0.2803304404	0.2803304404
496	0.2800492595	0.2800492595
497	0.2784122351	0.2784122351
498	0.278531124	0.278531124
499	0.2776256846	0.2776256846
